0.000	15.869	14.778
0.020	15.759	14.789
0.040	15.637	14.742
0.060	15.247	14.773
0.080	15.576	14.807
0.100	16.113	15.118
0.120	15.869	14.673
0.140	14.026	14.121
0.160	16.675	15.053
0.180	17.542	15.385
0.200	17.371	14.323
0.220	19.495	13.997
0.240	23.291	12.909
0.260	28.064	10.963
0.280	31.104	8.676
0.300	34.058	6.752
0.320	35.547	5.500
0.340	36.121	4.974
0.360	36.121	4.633
0.380	35.425	4.500
0.400	35.486	4.401
0.420	35.425	4.365
0.440	34.863	4.331
0.460	34.058	4.193
0.480	33.301	4.090
0.500	33.704	4.055
0.520	33.301	4.038
0.540	32.959	4.016
0.560	33.130	3.999
0.580	32.776	4.012
0.600	32.898	3.977
0.620	33.008	3.994
0.640	32.605	3.963
0.660	32.666	3.963
0.680	32.422	3.968
0.700	32.605	3.959
0.720	32.190	3.955
0.740	32.483	3.925
0.760	32.031	3.920
0.780	32.312	3.898
0.800	31.799	3.882
0.820	31.677	3.885
0.840	31.567	3.864
0.860	31.860	3.864
0.880	31.384	3.830
0.900	31.213	3.804
0.920	30.994	3.777
0.940	31.213	3.816
0.960	31.213	3.760
0.980	31.091	3.769
1.000	30.811	3.760
1.020	31.213	3.769
1.040	30.872	3.787
1.060	30.872	3.743
1.080	30.811	3.738
1.100	30.701	3.765
1.120	30.579	3.747
1.140	30.640	3.730
1.160	30.347	3.743
1.180	30.286	3.682
1.200	30.347	3.682
1.220	30.408	3.708
1.240	30.505	3.644
1.260	30.054	3.639
1.280	30.115	3.660
1.300	30.054	3.656
1.320	29.700	3.635
1.340	29.883	3.626
1.360	30.054	3.617
1.380	30.005	3.615
1.400	30.005	3.596
1.420	29.541	3.627
1.440	29.480	3.601
1.460	29.663	3.588
1.480	29.260	3.574
1.500	29.712	3.571
1.520	29.773	3.605
1.540	29.480	3.617
1.560	29.602	3.605
1.580	29.419	3.557
1.600	29.480	3.566
1.620	29.419	3.552
1.640	29.480	3.574
1.660	29.126	3.557
1.680	29.028	3.561
1.700	29.077	3.574
1.720	29.077	3.532
1.740	28.955	3.583
1.760	29.126	3.539
1.780	28.796	3.528
1.800	28.613	3.518
1.820	28.955	3.510
1.840	29.016	3.488
1.860	28.833	3.488
